Item,Description,Qty,Unit Price,Link,Running Total
Radxa Zero 3W 4GB,Main board for emulation,1,$52.63,https://www.aliexpress.us/item/3256807428419499.html?gatewayAdapt=esp2usa4itemAdapt,$52.63
2.8″ SPI TFT Display,Compact screen for handheld,1,$7.50,https://www.elecrow.com/2-8-inch-320x240-spi-serial-tft-lcd-module-display-with-driver-ic-ili9341.html?r=cmVsYXRl,$60.13
MicroSD Card 128GB,Storage for OS and ROMs,1,$15.00,https://www.amazon.com/SAMSUNG-Smartphones-Nintendo-Switch-MB-ME128SA-AM/dp/B0CWPN662Q/ref=sr_1_1?th=1,$75.13
Flat Li-ion / LiPo Battery 2000 mAh,Battery power source,1,$7.07,https://www.aliexpress.us/item/3256810055637543.html,$82.20
TP4056 Charging Module,Charging circuit for battery,1,$1.98,https://www.aliexpress.us/item/3256804241424963.html,$84.18
Step-up / Voltage Boost Module,Converts battery voltage to 5 V,1,$2.93,https://www.aliexpress.us/item/3256808260885117.html,$87.11
ABXY Button Set (extras used for dpad),Main controls,1,$7.61,https://www.aliexpress.us/item/3256808778757512.html?,$94.72
Start / Select 6x6mm buttons,Extra small buttons for start/select,1,$2.38,https://www.aliexpress.us/item/3256801442931013.html?,$97.10
3.5 mm Panel‑Mount Audio Jack,Headphone output,1,$0.72,https://www.aliexpress.us/item/3256806443682492.html,$97.82
Jumper Wires,Wiring for board + buttons + battery,1,$8.44,https://www.aliexpress.us/item/3256810340724400.html,$106.26
XL‑sized Tin,Altoids tin or similar metal enclosure,1,$15.00,https://www.ebay.com/itm/227108602323?_trkparms=itmf%3D1%26aid%3D111001%26rkt%3D20%26algo%3DREC.SEED%26asc%3D20240304162621%26mech%3D1%26algv%3D%26pmt%3D0%26amclksrc%3DITM%26sid%3DAQAKAAAAEAXwxNtvrUxTFaD5DluiPDU%3D%26itm%3D227108602323%26noa%3D1%26ao%3D1%26rk%3D2%26pid%3D102020%26b%3D1%26mehot%3Dnone%26lsid%3D0%26meid%3Dffd0e7c70e6f4f9aa395c1ab6bc12141%26pg%3D2332490&_trksid=p2332490.c102020.m5276,$121.26
Toggle Power Switch,Supplies power on/off cleanly,1,$2.50,https://www.aliexpress.us/item/2251801856197853.html,$123.76
Resistor Kit 1W,Resisters to prevent ghost presses from buttons,1,$5.98,https://www.amazon.com/Resistor-Resistors-Assortment-Breadboard-Electronics/dp/B0F4P352BB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.51CpWqJSseWX_hEqqJr41AbdsMj3JnUWwQX1kHL7uCPoD1XmRUJZUkOEKaWAuWAIMoSlQ1lVkEW_tdZ41rrbbZqt4EbS3QHCguOPIZySPBdMrLJkvCwZ1_txdbL8PAw_TRjTYwls9fYiINeYinFrncl_q_tHeaGMxbdefJGztPaKf2_vclp2iwA7ZlHbxM_OnNw7k4WVr0SfXXqBM1hoEcPqSt3fE8SrBU_LfdxhjJc.YlEcL16D4I72qS8XC5J566He41yFKOjqTOZOsdVT2kM&dib_tag=se&keywords=10k+ohm+resistor+assortment&qid=1764983133&sr=8-3,$129.74
Shipping (+fees),,,$35.81,,$165.55

